state,neigh,AFFGEOID,AFFGEOID.a,AFFGEOID.b,n_obs,sum_pernum,mean_pernum,p_move,mean_inc,sd_inc,q1_inc,q2_inc,q3_inc,mean_inc_nwage,mean_i_white,mean_i_black,mean_i_native,mean_i_asian,mean_i_hispanic,p_ownership,mean_rent,sd_rent,q1_rent,q2_rent,q3_rent,mean_valueh,sd_valueh,q1_valueh,q2_valueh,q3_valueh
AL,muni,0500000US01065,,,2471,7288,2.94941319303926,0.546881814217183,273.618883131837,554.215925839633,0,0,273,0.198918918918919,0.51355726426548,0.486442735734521,0,0,1,0.441926345609065,23.0167883211679,240.938263074777,3,5,13,176197.950549451,1307844.19296697,500,1800,3500
AL,muni,0500000US01067,,,934,2752,2.94646680942184,0.571078431372549,137.010169491525,340.390776976852,0,0,100,0.231433506044905,0.654175588865097,0.345824411134904,0,0,1,0.370449678800857,4.93333333333333,2.78339006859847,3,4,6,319294.734104046,1756748.11987859,700,1000,2000
AL,muni,0500000US01071,,,3934,11558,2.9379766141332,0.701799485861183,282.424856596558,521.983357466688,0,0,449,0.254709871891485,0.892984239959329,0.107015760040671,0,0,1,0.461870869344179,9.4404296875,7.65910005102012,5,8,12,161156.125481563,1253369.65015773,400,1000,2500
AL,muni,0500000US01073,,,225287,652358,2.89567529418031,0.712394555809635,488.758032826527,952.857009931502,0,0,750,0.12086372103072,0.610669945447363,0.389192452294185,9.76532156760044e-05,3.99490427765473e-05,1,0.36456673474426,99.349672094483,541.732333028742,8,12,20,79320.5408396947,869408.817333149,1500,2500,4000
AL,muni,0500000US01077,,,10587,30337,2.86549541890998,0.719865602687946,409.294444444444,696.114543496704,0,50,550,0.184996738421396,0.810333427788798,0.189666572211202,0,0,1,0.410999240121581,28.0323109726095,207.000577171341,6,10,17,161967.046452508,1252510.47821347,500,1500,3500
AL,muni,0500000US01079,,,2066,5645,2.7323330106486,0.621982537236775,329.809257781325,694.408103745062,0,0,400,0.260321903428971,0.829622458857696,0.170377541142304,0,0,1,0.41432720232333,44.8474434199497,431.936435241941,4,7,12,48647.4556074766,682256.33074194,500,1500,2500
AL,muni,0500000US01081,,,6811,18747,2.75245925708413,0.76522577534951,508.423362916767,808.675160851636,0,156,676,0.245708376421924,0.642049625605638,0.357803553075907,0,0.00014682131845544,1,0.324284449690174,36.7028481722359,446.912843363718,4,8,20,326731.282529572,1767739.22611025,1000,3500,6000
AL,muni,0500000US01083,,,2821,7635,2.70648706132577,0.708251085669167,374.630434782609,660.54147155098,0,0,520,0.208785249457701,0.812123360510457,0.187876639489543,0,0,1,0.436965811965812,11.822265625,9.99591051610656,5,9.5,15,223338.802770986,1467100.19287994,1200,2500,5000
AL,muni,0500000US01085,,,1178,3502,2.97283531409168,0.734753146176186,129.075888568684,286.890157559681,0,0,104,0.102304147465438,0.476230899830221,0.523769100169779,0,0,1,0.244482173174873,6.72935779816514,17.5127353509465,3,4,6,279727.409722222,1645885.95935035,1250,2000,3000
AL,muni,0500000US01089,,,5795,16020,2.76445211389129,0.640780341399362,384.328900498694,690.439059158442,0,0,540,0.176722293538725,0.821742881794651,0.178257118205349,0,0,1,0.343876295905816,15.2279132791328,9.67847607535909,8,13,20,147669.38221768,1187313.92557173,1500,3500,6000
AL,muni,0500000US01095,,,6739,20042,2.97403175545333,0.757857974388824,360.668058455115,642.192294641474,0,0,585,0.216727716727717,0.899243211158926,0.0985309393085027,0,0.0022258495325716,1,0.394033837934105,12.9806547619048,42.2788480223223,6,8,13,228096.514500942,1486169.41506926,600,1500,3000
AL,muni,0500000US01097,,,53371,164427,3.08083041352045,0.68859461768475,432.648374894231,874.880562464759,0,0,600,0.170142133477598,0.662344719042177,0.337130651477394,1.87367671581945e-05,0.000505892713271252,1,0.382146554699183,27.7282727928041,162.052317145709,8,12,20,122700.937788481,1085858.16810115,1200,2500,4500
AL,muni,0500000US01101,,,24203,68624,2.83535098954675,0.768979295314203,597.974409839318,878.241909468678,0,270,864,0.153562730281646,0.684584555633599,0.315415444366401,0,0,1,0.249178393865341,32.3895219076706,201.45461984895,6,12,25,484155.469732837,2137418.82570063,1500,3500,6000
AL,muni,0500000US01103,,,10552,29368,2.78316906747536,0.759705973703282,432.718144450969,1104.62371100812,0,50,624,0.214531878230902,0.744598180439727,0.255401819560273,0,0,1,0.344667109886979,15.7918599431393,79.5421475014982,6,10,15,82480.4739597685,890250.177154955,1000,2000,3500
AL,muni,0500000US01107,,,49,337,6.87755102040816,0.977777777777778,653.348837209302,629.508269309918,116,592,990,0.116279069767442,0.653061224489796,0.346938775510204,0,0,1,0.142857142857143,6.5,3.08957190326662,3,9,9,3500,0,3500,3500,3500
AL,muni,0500000US01109,,,6507,17840,2.74166282465038,0.655010875020914,350.636868406441,618.482552604895,0,104,420,0.263052208835341,0.55232826187183,0.44767173812817,0,0,1,0.437895386514427,13.1871880199667,96.1516956936663,4,5,12,140104.188865398,1164077.48894204,500,2000,3787.5
