tract_fips,gamma01a_units_IV,gamma11a_units_IV,gamma01a_space_IV,pctdis,pop_tot,n_units,land_area_m2,n_cbg,med_hh_inc,p_white,p_black,p_asian,pop_density,unit_density,log_pop_density,log_unit_density,log_units,log_land_area,log_inc,near_dart_05mi,near_dart_1mi,dist_station_m,restrictiveness
48085031504,0.230769395828247,0.204479828476906,0.374899029731751,0.36039736866951,6429,2423,3130470,4,84314.3092238295,0.740395084772126,0.141079483589983,0.0751283247783482,0.0020536852293745,0.000774005181330599,-6.18811942684621,-7.16393199017137,7.79276172081653,14.9566937109879,11.3423068712679,0,0,9986.82830761571,-0.230769395828247
48085031611,0.1952905356884,0.155104592442513,0.323798388242722,0.283193588256836,3671,1351,2523303,3,90891.5843094525,0.704440207028058,0.137837101607192,0.0792699536910923,0.00145483915328441,0.000535409342437274,-6.53285993204037,-7.53247897757701,7.2086003379602,14.7410793155372,11.4174226940254,0,0,1660.37360224085,-0.1952905356884
48085031613,0.173140570521355,0.163531124591827,0.304356545209885,0.277296453714371,5712,2106,3270927,5,123605.569677871,0.81390056022409,0.0388655462184873,0.0483193277310924,0.00174629394052512,0.000643854173449912,-6.35025948491792,-7.34803829624342,7.65254569269392,15.0005839889373,11.7248508851092,0,0,4222.56736136894,-0.173140570521355
48085031621,0.0468427762389183,-0.00778337009251118,0.162288993597031,0.242958396673203,6104,2936,4561415,5,84749.5422673657,0.624508519003932,0.0994429882044562,0.10108125819135,0.00133818124419725,0.000643659916933671,-6.61644386740856,-7.34834005063844,7.98480338973441,15.3331434403728,11.3474556242531,0,0,3755.55948801588,-0.0468427762389183
48085031622,0.173233881592751,0.165640354156494,0.270448565483093,0.266434103250504,6642,2399,3862468,3,105069.493224932,0.652062631737429,0.120295091839807,0.185486299307438,0.00171962589722426,0.000621105469352756,-6.36564851342748,-7.38400965252448,7.7828072628397,15.1668169153642,11.5623772504574,0,0,1832.83199762814,-0.173233881592751
48085031623,-0.0381465144455433,-0.0459199696779251,0.0581022836267948,0.255157589912415,2526,1154,1827879,3,83816.0835312747,0.724465558194775,0.0787806809184481,0.166270783847981,0.001381929547853,0.000631332817981934,-6.5842745333348,-7.36767738917719,7.05098944706805,14.4186668362452,11.3363801956353,0,0,1883.97754189334,0.0381465144455433
48085031624,0.117932170629501,0.110076710581779,0.245185568928719,0.248733177781105,3121,1361,1372395,3,62753.843639859,0.656840756167895,0.079782121115027,0.170778596603653,0.0022741266180655,0.000991696996855862,-6.08615920443632,-6.91609294405563,7.21597500265147,14.1320679467071,11.046975108343,0,0,3092.20340329789,-0.117932170629501
48085031625,0.226512268185616,0.225123018026352,0.358955651521683,0.25964081287384,4569,1800,2467123,4,115536.180126942,0.798643029109214,0.0444298533595973,0.11096520026264,0.00185195468568045,0.00072959475470011,-6.29151361083263,-7.22302130851164,7.49554194388426,14.7185632523959,11.6573390077444,0,0,4310.86351120997,-0.226512268185616
48085031626,0.0303910560905933,0.0279182903468609,0.134491860866547,0.250871539115906,2284,909,1285797,2,111001.941330998,0.807355516637478,0.0302101576182136,0.0849387040280209,0.00177633016720369,0.000706954519259261,-6.33320574673331,-7.25454422333174,6.81234509417748,14.0668893175092,11.61730296961,0,0,3057.58733877749,-0.0303910560905933
48085031627,0.162424489855766,0.15266016125679,0.260191142559052,0.261862426996231,5478,1951,3004205,4,85638.3154435926,0.707374954362906,0.0682730923694779,0.181453085067543,0.00182344413913165,0.000649423058679418,-6.30702818205828,-7.33942619125819,7.57609734062311,14.9155235318813,11.3578880723046,0,0,3964.2636526663,-0.162424489855766
48085031628,0.259565740823746,0.257718086242676,0.358738929033279,0.284759074449539,4037,1483,1872301,4,90094.6398315581,0.80629180084221,0.0958632648005946,0.0374040128808522,0.00215617040208813,0.000792073496729425,-6.1394215928396,-7.14085637155461,7.30182234213793,14.4426787136925,11.4086159505011,0,0,2856.26721720814,-0.259565740823746
48085031629,0.0932680368423462,0.0904385894536972,0.185659304261208,0.277109384536743,4058,1321,1543705,4,88798.2841301134,0.842533267619517,0.0574174470182355,0.0522424839822572,0.00262874059486754,0.000855733446481031,-5.94125040875023,-7.06355162461366,7.18614430452233,14.249695929136,11.3941226059345,0,0,2473.87781692356,-0.0932680368423462
48085031630,0.00833471771329641,-0.0244759060442448,0.100778006017208,0.309610188007355,4492,1544,1963040,3,113188.034951024,0.619545859305432,0.0670080142475513,0.178094390026714,0.00228828755399788,0.000786535169940501,-6.07995153416668,-7.14787311944029,7.34213173058472,14.490004850025,11.6368057408523,0,0,5704.79850033759,-0.00833471771329641
48085031631,0.090220995247364,0.0865874961018562,0.166473582386971,0.311476469039917,5499,1997,1907766,3,98473.1534824514,0.590107292234952,0.0872885979268957,0.12856883069649,0.00288242897713871,0.00104677408025932,-5.84912194545204,-6.86204214854404,7.59940133341582,14.4614434819599,11.4975392365331,0,0,5067.9697054301,-0.090220995247364
48085031632,0.209120690822601,0.170342266559601,0.274230003356934,0.313557952642441,4853,1821,3683783,2,92911.9136616526,0.511024108798681,0.283535957139914,0.151246651555739,0.00131739573150753,0.000494328791896808,-6.63209842185134,-7.61230969152895,7.50714107972761,15.1194507712566,11.4394071583628,0,0,4767.14715693534,-0.209120690822601
