model,n,term,estimate,std.error,stars
pa1,10,(Intercept),2.348008273183512,0.695342971545999,***
pa1,10,WRLURI,2.5530531839873367,0.7648523536993661,**
pa2,10,(Intercept),5.718428568981625,1.462328869374459,***
pa2,10,elast_inner,-6.207578373947469,4.993397022221039,
pa3,10,(Intercept),7.481492632253243,10.887734383637133,
pa3,10,log_mla_metro,-0.3874801825949531,1.2414309312465581,
pa4,10,(Intercept),-1.3534606943614411,3.365703361848368,
pa4,10,WRLURI,2.301458740082981,0.7532109737944476,**
pa4,10,log(numtracts),0.6961459070553349,0.4933974448475818,
pa4,10,FracUnavail,-5.875974629123186,6.15830877657204,
pa5,10,(Intercept),3.0611772537071693,6.668591905981607,
pa5,10,elast_inner,-5.682088425778324,5.876083152651901,
pa5,10,log(numtracts),0.5947058446193203,0.8144676099678128,
pa5,10,FracUnavail,-10.415235653706793,9.323154801668014,
pa6,10,(Intercept),5.6025780681640445,12.410710249486199,
pa6,10,log_mla_metro,-0.7613401523102727,1.259839977240144,
pa6,10,log(numtracts),0.9741937858144827,0.754674328111401,
pa6,10,FracUnavail,-10.063491170495846,9.885644022529451,
