evidence,data,coefficient,se,t_stat,stars
Sale price,deed,0.186085235750587,0.00699007149422593,26.6213637305857,***
Rental listing price,mls,0.119325561272738,0.0177946861580349,6.70568506873376,***
Lot size,sales,0.588939380322231,0.0101460334051182,58.0462686063244,***
Lot size,rental,0.515343202403552,0.0449902414318197,11.4545551658025,***
Building square feet,sales,0.143273087149431,0.00472873944271116,30.2983678600163,***
Building square feet,rental,0.137094513755245,0.0178566391795805,7.67750932168781,***
