y_var,data,spec,coef,se
LOG_PRICE,deed,11,0.180999139759426,0.0120598348759842
LOG_PRICE,mls,11,0.112841620050439,0.0245450712794726
i_white,hmda,11,0.0231933192416801,0.0031546663833642
LOG_inc_clean,hmda,11,0.161031584663603,0.00963143306105051
LOG_PRICE,deed,12,0.0360837867684127,0.00637413453513945
LOG_PRICE,mls,12,0.0527899523218503,0.0210037606716008
i_white,hmda,12,0.0133845855260254,0.00324501829279189
LOG_inc_clean,hmda,12,0.044227851355349,0.00528827656685939
LOG_PRICE,deed,21,0.16131026682055,0.0136344780850315
LOG_PRICE,mls,21,0.118512222855165,0.0206765424993832
i_white,hmda,21,0.0215822141316115,0.00320745474503943
LOG_inc_clean,hmda,21,0.142766203033503,0.0100398293494689
LOG_PRICE,deed,22,0.0344903105317458,0.00709738694450305
LOG_PRICE,mls,22,0.0608637187247046,0.0194001633113227
i_white,hmda,22,0.0125250317322913,0.00356128499190939
LOG_inc_clean,hmda,22,0.0382037784157432,0.00552171596494799
