y_var,data,N,spec,coef,se,R2,coef_low,coef_high,t_stat,stars
IPUMS_log_n_obs,deed,2178354,1,0.233297201139207,0.223190132160533,0.86204912638387,-0.204155457895437,0.670749860173851,1.04528456917354,""
IPUMS_log_n_obs,deed,2178354,2,0.0568988207143412,0.203304941654713,0.882150351000348,-0.341578864928896,0.455376506357579,0.279869344302395,""
IPUMS_mean_pernum,deed,2178354,1,-0.0164473406248961,0.0308694899050216,0.835493630620407,-0.0769515408387385,0.0440568595889462,0.532802475049017,""
IPUMS_mean_pernum,deed,2178354,2,-0.0211284423659291,0.0289223436204797,0.854798865105731,-0.0778162358620694,0.0355593511302112,0.730523177622722,""
IPUMS_log_mean_inc,deed,2175192,1,-0.0162198056333827,0.0246056604990086,0.938337599216731,-0.0644469002114396,0.0320072889446742,0.659190011746941,""
IPUMS_log_mean_inc,deed,2175192,2,-0.287448844389572,0.428715704789441,0.589563423653336,-1.12773162577688,0.552833936997732,0.670488254053463,""
IPUMS_mean_i_white,deed,2178354,1,-0.0159066634593905,0.0111980655030584,0.968289045989154,-0.037854871845385,0.00604154492660396,1.4204831589033,""
IPUMS_mean_i_white,deed,2178354,2,-0.00635902592142317,0.00555347550898524,0.979369767389258,-0.0172438379190342,0.0045257860761879,1.14505338344152,""
IPUMS_p_ownership,deed,2177932,1,0.021719671941902,0.0121126976768461,0.883501059245586,-0.00202121550471638,0.0454605593885204,1.79313250618151,*
IPUMS_p_ownership,deed,2177932,2,0.128329930086826,0.115536951167332,0.463947795372111,-0.0981224942011444,0.354782354374796,1.11072629829885,""
IPUMS_log_mean_valueh,deed,2169652,1,-0.171016931768681,0.118742556216929,0.867463465500764,-0.403752341953862,0.0617184784165008,1.44023286357632,""
IPUMS_log_mean_valueh,deed,2169652,2,0.96413875546533,1.2719015178861,0.661404085120844,-1.52878821959142,3.45706573052208,0.758029408650859,""
IPUMS_log_mean_rent,deed,2168175,1,-0.0313469337057063,0.0617085359087658,0.926272511407809,-0.152295664086887,0.0896017966754746,0.507983753690929,""
IPUMS_log_mean_rent,deed,2168175,2,-3.40617065217114,1.13751237516849,0.617687116013205,-5.63569490750139,-1.17664639684089,2.99440316125493,***
