y_var,data,spec,coef,se
LOG_PRICE,deed,11,0.154093377607659,0.0103740104501222
LOG_PRICE,mls,11,0.0823126302720986,0.0207017228499732
i_white,hmda,11,0.0329476269489401,0.00358223910236848
LOG_inc_clean,hmda,11,0.140008372469793,0.00749376431576573
LOG_PRICE,deed,12,0.0322257067375038,0.00437459149663124
LOG_PRICE,mls,12,0.021422383609338,0.0108509356521839
i_white,hmda,12,0.0181279092449889,0.00275614471281689
LOG_inc_clean,hmda,12,0.0289378056492253,0.00334412821295346
LOG_PRICE,deed,21,0.151660299353058,0.0108869340009662
LOG_PRICE,mls,21,0.0868038651537196,0.0231934403785262
i_white,hmda,21,0.0330166479565692,0.003729096650442
LOG_inc_clean,hmda,21,0.134521735684194,0.00800398292641201
LOG_PRICE,deed,22,0.034878830060704,0.0047938048549769
LOG_PRICE,mls,22,0.0240799534308854,0.0125261722833072
i_white,hmda,22,0.0195183130914662,0.00301808599131079
LOG_inc_clean,hmda,22,0.0281042545369497,0.00361611626612368
