fid,mode,region,agency,name,year_open,cost_usd,riders,status,notes,web,grade,construct,automated,year_clos,ffga_date,ffga_cost,ffga_shr,reference,limited,country,brt_rating,project,route_km,brt_year,through
"4799",High-Speed Rail,,CA HSR,CA HSR - Phase 2 - Temescal Valley Route Option,,,,proposed,,https://hsr.ca.gov/,"elevated; at grade",,,,,,,CA HSR,"0",USA,,CA HSR - Phase 2 - Temescal Valley Route Option,92.0747009796151,,"0"
"4800",High-Speed Rail,,CA HSR,CA HSR - Phase 2 - San Bernardino Route Option,,,,proposed,,https://hsr.ca.gov/,"elevated; at grade",,,,,,,CA HSR,"0",USA,,CA HSR - Phase 2 - San Bernardino Route Option,42.2067206367609,,"0"
"4801",High-Speed Rail,,CA HSR,CA HSR - Phase 2 - El Monte-East LA Route Option,,,,proposed,,https://hsr.ca.gov/,"elevated; at grade",,,,,,,CA HSR,"0",USA,,CA HSR - Phase 2 - El Monte-East LA Route Option,24.4541132624522,,"0"
"4802",High-Speed Rail,,CA HSR,CA HSR - Phase 1 - Los Angeles to Anaheim,,,,planned,,https://hsr.ca.gov/,"elevated; at grade",,,,,,,CA HSR,"0",USA,,CA HSR - Phase 1 - Los Angeles to Anaheim,48.8130782302198,,"0"
"4803",High-Speed Rail,,CA HSR,CA HSR - Phase 1 - Burbank to Los Angeles,,,,planned,,https://hsr.ca.gov/,"elevated; at grade",,,,,,,CA HSR,"0",USA,,CA HSR - Phase 1 - Burbank to Los Angeles,16.7520575498499,,"0"
"4804",High-Speed Rail,,CA HSR,CA HSR - Phase 1 - Palmdale to Burbank,,,,planned,,https://hsr.ca.gov/,"subway; elevated; at grade",,,,,,,CA HSR,"0",USA,,CA HSR - Phase 1 - Palmdale to Burbank,66.932353856693,,"0"
"4805",High-Speed Rail,,CA HSR,CA HSR - Phase 1 - Bakersfield to Palmdale,,,,planned,,https://hsr.ca.gov/,"elevated; at grade",,,,,,,CA HSR,"0",USA,,CA HSR - Phase 1 - Bakersfield to Palmdale,129.529987128082,,"0"
"4806",High-Speed Rail,,CA HSR,CA HSR - Phase 1 - Fresno to Bakersfield,,,,uc,,https://hsr.ca.gov/high-speed-rail-in-california/project-sections/fresno-to-bakersfield/,"elevated; at grade",2015-2033,,,,,,CA HSR,"0",USA,,CA HSR - Phase 1 - Fresno to Bakersfield,182.975800792834,,"0"
"4807",High-Speed Rail,,CA HSR,CA HSR - Phase 1 - Merced to Fresno,,,,uc,,https://hsr.ca.gov/high-speed-rail-in-california/project-sections/merced-to-fresno/,"elevated; at grade",2015-2033,,,,,,CA HSR,"0",USA,,CA HSR - Phase 1 - Merced to Fresno,182.752989168354,,"0"
"4808",High-Speed Rail,,CA HSR,CA HSR - Phase 1 - San Jose to the Central Valley Wye,,,,planned,,https://hsr.ca.gov/,"subway; elevated; at grade",,,,,,,CA HSR,"0",USA,,CA HSR - Phase 1 - San Jose to the Central Valley Wye,135.176229886915,,"0"
"4809",High-Speed Rail,,CA HSR,CA HSR - Phase 1 - San Francisco to San Jose,,,,planned,Would largely run along Caltrain corridor.,https://hsr.ca.gov/,"subway; elevated; at grade",,,,,,,CA HSR,"0",USA,,CA HSR - Phase 1 - San Francisco to San Jose,0.461743067960273,,"0"
"4810",High-Speed Rail,,Texas Central,Texas Central Houston-Dallas,,24000,,proposed,Likely cancelled because lost federal grant.,https://www.texascentral.com/,"elevated; at grade",,,,,,,Texas Central HSR,"0",USA,,Texas Central Houston-Dallas,378.823127227456,,"0"
"4811",Intercity Rail,,Brightline,Brightline Orlando-Tampa,,,,proposed,,https://www.gobrightline.com/,at grade,,,,,,,Yonah Freemark,"0",USA,,Brightline Orlando-Tampa,105.372897226246,,"0"
"4812",Intercity Rail,Las Vegas NV USA,Brightline,Brightline West Las Vegas-Rancho Cucamonga,,,,uc,Received a $3 b federal grant in 2023,https://www.brightlinewest.com,at grade,2024-2028,,,,,,Yonah Freemark,"0",USA,,Brightline West Las Vegas-Rancho Cucamonga,350.881744309117,,"0"
"45658",Arterial Rapid Transit,Chicago IL USA,Pace,Pulse Halsted Line,,,,proposed,,,at grade,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",USA,,Pulse Halsted Line,12.4938486650131,,"0"
"45671",Light Rail,Calgary AB CAN,Calgary Transit,CTrain Green Line,,3860,,uc,,http://www.calgary.ca/Transportation/TI/Pages/Transit-projects/Green-line/home.aspx,"subway; at grade",2021-2027,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",CAN,,Green Line Phase 1,19.9523281803009,,"0"
"45672",Light Rail,Calgary AB CAN,Calgary Transit,CTrain Green Line,,,,proposed,"In planning; funding necessary for this extension.",http://www.calgary.ca/Transportation/TI/Pages/Transit-projects/Green-line/home.aspx,at grade,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",CAN,,Green Line South,8.63400146821494,,"0"
"45673",Bus Rapid Transit,London ON CAN,London Transit,Downtown Loop BRT,"2023",,,existing,,https://london.ca/projects/downtown-loop,at grade,2021-2023,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",CAN,,Downtown Loop BRT,2.1976818016812,,"0"
"45676",Light Rail,Charlotte NC USA,CATS,Silver Line,,,,proposed,"In initial planning; funding not yet secured. Could be complete by 2040.",https://www.charlottenc.gov/CATS/Plans-Projects,at grade,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",USA,,Silver Line,40.877868461258,,"0"
"45677",Light Rail,Edmonton AB CAN,ETS,Metro Line,,,,proposed,Additional funding needed for project completion,https://www.edmonton.ca/projects_plans/transit/nw-lrt.aspx,"subway; elevated; at grade",,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",CAN,,Metro Line Northwest Extension Phases II/III,9.2469128741401,,"0"
"45678",Light Metro,Miami FL USA,Miami-Dade Transit,SMART Beach Corridor,,,,planned,Would extend Miami MetroMover.,http://www.miamidadetpo.org/smartplan.asp,elevated,2027-2030,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",USA,,SMART Beach Corridor - Miami Extension,2.66641232902945,,"0"
"46029",Intercity Rail,,Amtrak,Adirondack,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Adirondack,612.437397142043,,"0"
"46030",Intercity Rail,,Amtrak,DC - Newport News,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,DC - Newport News,302.364137780138,,"0"
"46031",Intercity Rail,,Amtrak,DC - Lynchburg - Roanoke,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,DC - Lynchburg - Roanoke,361.602868300665,,"0"
"46032",Intercity Rail,,Amtrak,Empire Service,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Empire Service,748.552442358774,,"0"
"46033",Intercity Rail,,Amtrak,Empire Builder,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Empire Builder,4211.72662509726,,"0"
"46034",Intercity Rail,,Amtrak,Chicago - St.Louis,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Chicago - St.Louis,453.169574598496,,"0"
"46035",Intercity Rail,,Amtrak,Cascades,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Cascades,397.5111200637,,"0"
"46036",Intercity Rail,,Amtrak,DC – Richmond,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,DC – Richmond,188.288503380861,,"0"
"46037",Intercity Rail,,Amtrak,Coast Starlight,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Coast Starlight,1329.73370967322,,"0"
"46038",Intercity Rail,,Amtrak,Crescent,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Crescent,2232.7644190642,,"0"
"46039",Intercity Rail,,Amtrak,City of New Orleans,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,City of New Orleans,1506.01149436653,,"0"
"46040",Intercity Rail,,Amtrak,Kansas City - St. Louis (Missouri River Runner),,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Kansas City - St. Louis (Missouri River Runner),448.716555262248,,"0"
"46041",Intercity Rail,,Amtrak,DC - Norfolk,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,DC - Norfolk,358.972064705452,,"0"
"46042",Intercity Rail,,Amtrak,Sunset Limited,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Sunset Limited,3258.58966353207,,"0"
"46043",Intercity Rail,,Amtrak,Southwest Chief,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Southwest Chief,3718.77088142185,,"0"
"46045",Intercity Rail,,Amtrak,The Downeaster,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,The Downeaster,233.699167813813,,"0"
"46046",Intercity Rail,,Amtrak,Vermonter,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Vermonter,978.059475788371,,"0"
"46047",Commuter Rail,Bay Area CA USA,Capitol Corridor JPA/Amtrak,Capitol Corridor,"1991",,,existing,"Service previously opened as part of Transcontinental RR in 1869; service was discontinued in the 1960s.",,at grade,,,,,,,US DOT BTS,"0",USA,,Capitol Corridor,273.617677136749,,"0"
"46048",Intercity Rail,,Amtrak,Piedmont,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Piedmont,288.898300581425,,"0"
"46049",Intercity Rail,,Amtrak,Carolinian,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Carolinian,865.942794625399,,"0"
"46050",Intercity Rail,,Amtrak,Pere Marquette,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Pere Marquette,284.648726462163,,"0"
"46051",Intercity Rail,,Amtrak,Texas Eagle,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Texas Eagle,4442.36784882894,,"0"
"46052",Intercity Rail,,Amtrak,Wolverines (Michigan_Services),,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Wolverines (Michigan_Services),265.266598227502,,"0"
"46053",Intercity Rail,,Amtrak,Wolverines (M-DOT),,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Wolverines (M-DOT),218.857359774052,,"0"
"46054",Intercity Rail,,Amtrak,Illinois Zephyr,,,,existing,,,at grade,,,,,,,US DOT BTS,"0",USA,,Illinois Zephyr,415.454324423821,,"0"
